,0
0,Compact Administrator
1,"Angie Schwartz, Deputy Director"
2,Children & Family Services Division
3,California Department of Social Services
4,"744 P Street, M.S. 8-17-18"
5,"Sacramento, CA 95814"
6,(916) 657-2614 Office
7,(916) 657-2049 Fax
8,Deputy Compact Administrator
9,"Christina Libre, Manager"
10,Out-of-State Placement Policy Unit
11,Resource Family Support & Permanency Branch
12,California Department of Social Services
13,"744 P Street, M.S. 8-12-90"
14,"Sacramento, CA 95814"
15,(916) 651-8100 Office
16,(916) 651-8144 Fax
